source,target,corr,abs_corr,sign,weight,period
ADVANC.BK,MSFT,0.06360209606897849,0.06360209606897849,+,0.06360209606897849,Post-Crisis (2022)
ADVANC.BK,NVDA,0.01928020505784291,0.01928020505784291,+,0.01928020505784291,Post-Crisis (2022)
ADVANC.BK,PTT.BK,0.18776333129887268,0.18776333129887268,+,0.18776333129887268,Post-Crisis (2022)
ADVANC.BK,PTTEP.BK,-0.034790885696544774,0.034790885696544774,-,0.034790885696544774,Post-Crisis (2022)
ADVANC.BK,PTTGC.BK,0.12225806851757805,0.12225806851757805,+,0.12225806851757805,Post-Crisis (2022)
ADVANC.BK,SCB.BK,0.23695765528709065,0.23695765528709065,+,0.23695765528709065,Post-Crisis (2022)
ADVANC.BK,SCC.BK,0.2609235135402453,0.2609235135402453,+,0.2609235135402453,Post-Crisis (2022)
ADVANC.BK,TRUE.BK,0.44074313010583444,0.44074313010583444,+,0.44074313010583444,Post-Crisis (2022)
ADVANC.BK,TSLA,-0.0050000059723060535,0.0050000059723060535,-,0.0050000059723060535,Post-Crisis (2022)
ADVANC.BK,UNH,-0.010190451008696443,0.010190451008696443,-,0.010190451008696443,Post-Crisis (2022)
ADVANC.BK,WMT,-0.003748232186524748,0.003748232186524748,-,0.003748232186524748,Post-Crisis (2022)
ADVANC.BK,XOM,0.0052498550202952675,0.0052498550202952675,+,0.0052498550202952675,Post-Crisis (2022)
AMD,AMZN,0.6534452305422975,0.6534452305422975,+,0.6534452305422975,Post-Crisis (2022)
AMD,AOT.BK,0.07314143298979994,0.07314143298979994,+,0.07314143298979994,Post-Crisis (2022)
AMD,BAC,0.5189264268255915,0.5189264268255915,+,0.5189264268255915,Post-Crisis (2022)
AMD,BBL.BK,-0.03719923391471979,0.03719923391471979,-,0.03719923391471979,Post-Crisis (2022)
AMD,BDMS.BK,0.09883385263176543,0.09883385263176543,+,0.09883385263176543,Post-Crisis (2022)
AMD,BTC-USD,0.5096883127245538,0.5096883127245538,+,0.5096883127245538,Post-Crisis (2022)
